DateKey,Date,Year,Quarter,QuarterNumber,Month,MonthNumber,MonthShort,Week,DayOfWeek,DayOfMonth,IsWeekend,FiscalYear,FiscalQuarter,YearMonth
20230101,2023-01-01,2023,Q1,1,January,1,Jan,52,Sunday,1,1,FY2022,FQ2,2023-01
20230102,2023-01-02,2023,Q1,1,January,1,Jan,1,Monday,2,0,FY2022,FQ2,2023-01
20230103,2023-01-03,2023,Q1,1,January,1,Jan,1,Tuesday,3,0,FY2022,FQ2,2023-01
20230104,2023-01-04,2023,Q1,1,January,1,Jan,1,Wednesday,4,0,FY2022,FQ2,2023-01
20230105,2023-01-05,2023,Q1,1,January,1,Jan,1,Thursday,5,0,FY2022,FQ2,2023-01
20230106,2023-01-06,2023,Q1,1,January,1,Jan,1,Friday,6,0,FY2022,FQ2,2023-01
20230107,2023-01-07,2023,Q1,1,January,1,Jan,1,Saturday,7,1,FY2022,FQ2,2023-01
20230108,2023-01-08,2023,Q1,1,January,1,Jan,1,Sunday,8,1,FY2022,FQ2,2023-01
20230109,2023-01-09,2023,Q1,1,January,1,Jan,2,Monday,9,0,FY2022,FQ2,2023-01
20230110,2023-01-10,2023,Q1,1,January,1,Jan,2,Tuesday,10,0,FY2022,FQ2,2023-01
20230111,2023-01-11,2023,Q1,1,January,1,Jan,2,Wednesday,11,0,FY2022,FQ2,2023-01
20230112,2023-01-12,2023,Q1,1,January,1,Jan,2,Thursday,12,0,FY2022,FQ2,2023-01
20230113,2023-01-13,2023,Q1,1,January,1,Jan,2,Friday,13,0,FY2022,FQ2,2023-01
20230114,2023-01-14,2023,Q1,1,January,1,Jan,2,Saturday,14,1,FY2022,FQ2,2023-01
20230115,2023-01-15,2023,Q1,1,January,1,Jan,2,Sunday,15,1,FY2022,FQ2,2023-01
20230116,2023-01-16,2023,Q1,1,January,1,Jan,3,Monday,16,0,FY2022,FQ2,2023-01
20230117,2023-01-17,2023,Q1,1,January,1,Jan,3,Tuesday,17,0,FY2022,FQ2,2023-01
20230118,2023-01-18,2023,Q1,1,January,1,Jan,3,Wednesday,18,0,FY2022,FQ2,2023-01
20230119,2023-01-19,2023,Q1,1,January,1,Jan,3,Thursday,19,0,FY2022,FQ2,2023-01
20230120,2023-01-20,2023,Q1,1,January,1,Jan,3,Friday,20,0,FY2022,FQ2,2023-01
20230121,2023-01-21,2023,Q1,1,January,1,Jan,3,Saturday,21,1,FY2022,FQ2,2023-01
20230122,2023-01-22,2023,Q1,1,January,1,Jan,3,Sunday,22,1,FY2022,FQ2,2023-01
20230123,2023-01-23,2023,Q1,1,January,1,Jan,4,Monday,23,0,FY2022,FQ2,2023-01
20230124,2023-01-24,2023,Q1,1,January,1,Jan,4,Tuesday,24,0,FY2022,FQ2,2023-01
20230125,2023-01-25,2023,Q1,1,January,1,Jan,4,Wednesday,25,0,FY2022,FQ2,2023-01
20230126,2023-01-26,2023,Q1,1,January,1,Jan,4,Thursday,26,0,FY2022,FQ2,2023-01
20230127,2023-01-27,2023,Q1,1,January,1,Jan,4,Friday,27,0,FY2022,FQ2,2023-01
20230128,2023-01-28,2023,Q1,1,January,1,Jan,4,Saturday,28,1,FY2022,FQ2,2023-01
20230129,2023-01-29,2023,Q1,1,January,1,Jan,4,Sunday,29,1,FY2022,FQ2,2023-01
20230130,2023-01-30,2023,Q1,1,January,1,Jan,5,Monday,30,0,FY2022,FQ2,2023-01
20230131,2023-01-31,2023,Q1,1,January,1,Jan,5,Tuesday,31,0,FY2022,FQ2,2023-01
20230201,2023-02-01,2023,Q1,1,February,2,Feb,5,Wednesday,1,0,FY2022,FQ2,2023-02
20230202,2023-02-02,2023,Q1,1,February,2,Feb,5,Thursday,2,0,FY2022,FQ2,2023-02
20230203,2023-02-03,2023,Q1,1,February,2,Feb,5,Friday,3,0,FY2022,FQ2,2023-02
20230204,2023-02-04,2023,Q1,1,February,2,Feb,5,Saturday,4,1,FY2022,FQ2,2023-02
20230205,2023-02-05,2023,Q1,1,February,2,Feb,5,Sunday,5,1,FY2022,FQ2,2023-02
