BudgetID,DateKey,AccountID,BudgetAmount,BudgetVersion,Year,Month
1,20230101,4001,440000.0,Final,2023,1
2,20230101,4002,270000.0,Final,2023,1
3,20230101,4003,175000.0,Final,2023,1
4,20230101,4004,115000.0,Final,2023,1
5,20230101,4005,90000.0,Final,2023,1
6,20230101,4010,14000.0,Final,2023,1
7,20230101,5001,175000.0,Final,2023,1
8,20230101,5002,90000.0,Final,2023,1
9,20230101,5003,43000.0,Final,2023,1
10,20230101,6001,310000.0,Final,2023,1
11,20230101,6002,82000.0,Final,2023,1
12,20230101,6003,54000.0,Final,2023,1
13,20230101,6004,11500.0,Final,2023,1
14,20230101,6005,72000.0,Final,2023,1
15,20230101,6006,24000.0,Final,2023,1
16,20230101,6007,33000.0,Final,2023,1
17,20230101,6008,43000.0,Final,2023,1
18,20230101,6009,22000.0,Final,2023,1
19,20230101,6010,17500.0,Final,2023,1
20,20230101,6011,7500.0,Final,2023,1
21,20230101,6012,14000.0,Final,2023,1
22,20230101,7001,60000.0,Final,2023,1
23,20230201,4001,440000.0,Final,2023,2
24,20230201,4002,270000.0,Final,2023,2
25,20230201,4003,175000.0,Final,2023,2
26,20230201,4004,115000.0,Final,2023,2
27,20230201,4005,90000.0,Final,2023,2
28,20230201,4010,14000.0,Final,2023,2
29,20230201,5001,175000.0,Final,2023,2
30,20230201,5002,90000.0,Final,2023,2
31,20230201,5003,43000.0,Final,2023,2
32,20230201,6001,310000.0,Final,2023,2
33,20230201,6002,82000.0,Final,2023,2
34,20230201,6003,54000.0,Final,2023,2
35,20230201,6004,11500.0,Final,2023,2
36,20230201,6005,72000.0,Final,2023,2
37,20230201,6006,24000.0,Final,2023,2
38,20230201,6007,33000.0,Final,2023,2
39,20230201,6008,43000.0,Final,2023,2
40,20230201,6009,22000.0,Final,2023,2
41,20230201,6010,17500.0,Final,2023,2
42,20230201,6011,7500.0,Final,2023,2
43,20230201,6012,14000.0,Final,2023,2
44,20230201,7001,60000.0,Final,2023,2
45,20230301,4001,440000.0,Final,2023,3
46,20230301,4002,270000.0,Final,2023,3
47,20230301,4003,175000.0,Final,2023,3
48,20230301,4004,115000.0,Final,2023,3
49,20230301,4005,90000.0,Final,2023,3
50,20230301,4010,14000.0,Final,2023,3
51,20230301,5001,175000.0,Final,2023,3
52,20230301,5002,90000.0,Final,2023,3
53,20230301,5003,43000.0,Final,2023,3
54,20230301,6001,310000.0,Final,2023,3
55,20230301,6002,82000.0,Final,2023,3
56,20230301,6003,54000.0,Final,2023,3
57,20230301,6004,11500.0,Final,2023,3
58,20230301,6005,72000.0,Final,2023,3
59,20230301,6006,24000.0,Final,2023,3
60,20230301,6007,33000.0,Final,2023,3
61,20230301,6008,43000.0,Final,2023,3
62,20230301,6009,22000.0,Final,2023,3
63,20230301,6010,17500.0,Final,2023,3
64,20230301,6011,7500.0,Final,2023,3
65,20230301,6012,14000.0,Final,2023,3
66,20230301,7001,60000.0,Final,2023,3
67,20230401,4001,440000.0,Final,2023,4
68,20230401,4002,270000.0,Final,2023,4
69,20230401,4003,175000.0,Final,2023,4
70,20230401,4004,115000.0,Final,2023,4
71,20230401,4005,90000.0,Final,2023,4
72,20230401,4010,14000.0,Final,2023,4
73,20230401,5001,175000.0,Final,2023,4
74,20230401,5002,90000.0,Final,2023,4
75,20230401,5003,43000.0,Final,2023,4
76,20230401,6001,310000.0,Final,2023,4
77,20230401,6002,82000.0,Final,2023,4
78,20230401,6003,54000.0,Final,2023,4
79,20230401,6004,11500.0,Final,2023,4
80,20230401,6005,72000.0,Final,2023,4
81,20230401,6006,24000.0,Final,2023,4
82,20230401,6007,33000.0,Final,2023,4
83,20230401,6008,43000.0,Final,2023,4
84,20230401,6009,22000.0,Final,2023,4
85,20230401,6010,17500.0,Final,2023,4
86,20230401,6011,7500.0,Final,2023,4
87,20230401,6012,14000.0,Final,2023,4
88,20230401,7001,60000.0,Final,2023,4
89,20230501,4001,440000.0,Final,2023,5
90,20230501,4002,270000.0,Final,2023,5
91,20230501,4003,175000.0,Final,2023,5
92,20230501,4004,115000.0,Final,2023,5
93,20230501,4005,90000.0,Final,2023,5
94,20230501,4010,14000.0,Final,2023,5
95,20230501,5001,175000.0,Final,2023,5
96,20230501,5002,90000.0,Final,2023,5
97,20230501,5003,43000.0,Final,2023,5
98,20230501,6001,310000.0,Final,2023,5
99,20230501,6002,82000.0,Final,2023,5
100,20230501,6003,54000.0,Final,2023,5
101,20230501,6004,11500.0,Final,2023,5
102,20230501,6005,72000.0,Final,2023,5
103,20230501,6006,24000.0,Final,2023,5
104,20230501,6007,33000.0,Final,2023,5
105,20230501,6008,43000.0,Final,2023,5
