CashFlowID,DateKey,Activity,LineItem,Amount,Year,Month
1,20230115,Operating,Cash from Customers,694653.55,2023,1
2,20230115,Operating,Cash Paid to Suppliers,-376438.86,2023,1
3,20230115,Operating,Cash Paid to Employees,-272693.76,2023,1
4,20230115,Operating,Interest Received,15371.0,2023,1
5,20230115,Operating,Taxes Paid,-74508.57,2023,1
6,20230115,Investing,Capital Expenditures,-74719.47,2023,1
7,20230115,Investing,Asset Sales,12080.4,2023,1
8,20230115,Investing,Acquisitions,-21304.46,2023,1
9,20230115,Financing,Debt Repayment,-46390.3,2023,1
10,20230115,Financing,Dividends Paid,-34382.07,2023,1
11,20230115,Financing,Share Issuance,21568.18,2023,1
12,20230215,Operating,Cash from Customers,903710.81,2023,2
13,20230215,Operating,Cash Paid to Suppliers,-347189.34,2023,2
14,20230215,Operating,Cash Paid to Employees,-304354.88,2023,2
15,20230215,Operating,Interest Received,14682.54,2023,2
16,20230215,Operating,Taxes Paid,-62480.31,2023,2
17,20230215,Investing,Capital Expenditures,-94948.88,2023,2
18,20230215,Investing,Asset Sales,13798.0,2023,2
19,20230215,Investing,Acquisitions,-27376.35,2023,2
20,20230215,Financing,Debt Repayment,-50953.38,2023,2
21,20230215,Financing,Dividends Paid,-31485.7,2023,2
22,20230215,Financing,Share Issuance,19270.61,2023,2
23,20230315,Operating,Cash from Customers,693737.97,2023,3
24,20230315,Operating,Cash Paid to Suppliers,-334883.07,2023,3
25,20230315,Operating,Cash Paid to Employees,-303704.5,2023,3
26,20230315,Operating,Interest Received,13200.8,2023,3
27,20230315,Operating,Taxes Paid,-64159.93,2023,3
28,20230315,Investing,Capital Expenditures,-90056.86,2023,3
29,20230315,Investing,Asset Sales,12810.79,2023,3
30,20230315,Investing,Acquisitions,-27909.78,2023,3
31,20230315,Financing,Debt Repayment,-40124.65,2023,3
32,20230315,Financing,Dividends Paid,-30917.18,2023,3
33,20230315,Financing,Share Issuance,22214.03,2023,3
34,20230415,Operating,Cash from Customers,747072.21,2023,4
35,20230415,Operating,Cash Paid to Suppliers,-370922.79,2023,4
36,20230415,Operating,Cash Paid to Employees,-350244.97,2023,4
37,20230415,Operating,Interest Received,14407.93,2023,4
38,20230415,Operating,Taxes Paid,-67307.86,2023,4
39,20230415,Investing,Capital Expenditures,-89051.34,2023,4
40,20230415,Investing,Asset Sales,11910.72,2023,4
41,20230415,Investing,Acquisitions,-24348.45,2023,4
42,20230415,Financing,Debt Repayment,-40787.12,2023,4
43,20230415,Financing,Dividends Paid,-34375.63,2023,4
44,20230415,Financing,Share Issuance,22745.28,2023,4
